marks,question,subject,topic,weightage,email
1,What is a trie data structure used for?,Computer Science,Data Structures,1,thehitman@gmail.com
2,What is the difference between symmetric and asymmetric encryption?,Computer Science,Cryptography,1,thehitman@gmail.com
3,What is the difference between a hub and a switch?,Computer Science,Networking,2,thehitman@gmail.com
5,What is the purpose of network slicing in 5G networks?,Computer Science,Networking,5,thehitman@gmail.com
1,What is a variable in programming?,Computer Science,Computer Programming,1,thehitman@gmail.com
1,What is a database?,Computer Science,Databases,2,thehitman@gmail.com
1,What is a relational database?,Computer Science,Databases,1,thehitman@gmail.com
1,Explain the concept of pipelining in computer architecture.,Computer Science,Computer Architecture,3,thehitman@gmail.com
2,Discuss the benefits and challenges of using a distributed database architecture.,Computer Science,Computer Architecture,4,thehitman@gmail.com
4,Explain the purpose and use of the Translation Lookaside Buffer (TLB) in virtual memory systems.,Computer Science,Computer Architecture,4,thehitman@gmail.com
5,Explain the concept of data hazards in pipelined processors and techniques to mitigate them.,Computer Science,Computer Architecture,5,thehitman@gmail.com
5,Explain the purpose and working of the Translation Lookaside Buffer (TLB) for virtual memory management.,Computer Science,Computer Architecture,5,thehitman@gmail.com
5,Discuss the principles and benefits of using a multi-threaded processor for concurrency.,Computer Science,Computer Architecture,5,thehitman@gmail.com
5,Explain the concept of branch prediction and its impact on CPU performance.,Computer Science,Computer Architecture,5,thehitman@gmail.com
5,Discuss the differences between a Harvard architecture and a Modified Harvard architecture.,Computer Science,Computer Architecture,4,thehitman@gmail.com
5,Explain the purpose and use of the Translation Lookaside Buffer (TLB) in virtual memory systems.,Computer Science,Computer Architecture,5,thehitman@gmail.com
5,Discuss the benefits and drawbacks of using a speculative execution in a CPU.,Computer Science,Computer Architecture,5,thehitman@gmail.com
5,Explain the purpose and working of the Memory Management Unit (MMU) for virtual memory management.,Computer Science,Computer Architecture,5,thehitman@gmail.com
5,Discuss the differences between a synchronous and an asynchronous memory bus.,Computer Science,Computer Architecture,4,thehitman@gmail.com
5,Explain the concept of data hazards in pipelined processors and techniques to mitigate them.,Computer Science,Computer Architecture,5,thehitman@gmail.com
5,Discuss the benefits and challenges of using a superscalar processor architecture.,Computer Science,Computer Architecture,5,thehitman@gmail.com
5,Explain the purpose and working of the Translation Lookaside Buffer (TLB) for virtual memory management.,Computer Science,Computer Architecture,5,thehitman@gmail.com
5,Discuss the principles and benefits of using a multi-threaded processor for concurrency.,Computer Science,Computer Architecture,5,thehitman@gmail.com
